n,t_ms,temp_C,pressure_hPa,altitude_m,max_altitude_m,descent_count,teensy_trigger,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,humidity_pct,sound_db,pitch_deg,roll_deg,heading_deg,t_s,dt_s,pitch_logged_deg,roll_logged_deg,pressure_ref_hpa,altitude_baro_m,altitude_logged_m,a_lin_ms2,altitude_fused_m,v_fused_ms,v_baro_ms,a_baro_ms2,pos_x_m,pos_y_m,pos_z_m,yaw_deg
15,18177,33.27,951.41,-0.58,0.28,0,0,0.0554,0.1178,0.9594,2.75,-1.95,-14.22,69,67,52,,,-3.2803,7.0,317.8345,7.5,0.5,-3.2803,7.0,951.34,-0.4433458261688039,-0.43999999999999995,-0.18404177308587605,-0.4433458261688039,-0.7244481984089911,-1.241331338279632,-0.35464723165949064,0.0,0.0,-0.4433458261688039,317.8345
58,39658,32.21,951.49,-0.91,0.12,0,0,-0.0302,-0.0857,0.9916,-0.31,0.18,-0.18,119,105,37,,,1.738,-4.9396,318.1653,28.981,0.5,1.738,-4.9396,951.34,-1.1526599090579737,-0.77,0.06134899334973515,-1.1526599090579737,-0.6693999556288005,-0.6206524634181543,1.4186553317451778,0.0,0.0,-1.1526599090579737,318.1653
59,40158,32.23,951.48,-0.88,0.12,0,0,-0.0302,-0.0856,0.9907,-0.24,0.18,-0.24,120,106,34,,,1.7396,-4.9383,318.1861,29.481,0.5,1.7396,-4.9383,951.34,-1.0639982895869582,-0.74,0.05252783658053227,-1.0639982895869582,-0.36964936040384105,0.17732399346554573,0.7979779659208863,0.0,0.0,-1.0639982895869582,318.1861
60,40658,32.24,951.47,-0.73,0.12,0,0,-0.03,-0.0851,0.9927,-0.24,0.18,-0.18,121,106,37,,,1.7247,-4.8997,318.376,29.981,0.5,1.7247,-4.8997,951.34,-0.9753359155924279,-0.59,0.07210925536262269,-0.9753359155924279,-0.16328798764744246,0.17732550250273205,-0.08866086495734393,0.0,0.0,-0.9753359155924279,318.376
61,41158,32.26,951.46,-0.72,0.12,0,0,-0.0305,-0.0858,0.9906,-0.18,0.12,-0.18,119,108,30,,,1.757,-4.9503,317.4909,30.481,0.5,1.757,-4.9503,951.34,-0.8866727870842261,-0.58,0.05132853756813932,-0.8866727870842261,-0.0621947697395146,0.0886631285082018,-0.17732550250273205,0.0,0.0,-0.8866727870842261,317.4909
62,41658,32.27,951.46,-0.66,0.12,0,0,-0.0303,-0.0864,0.9926,-0.24,0.12,-0.12,121,107,33,,,1.7419,-4.974700000000001,318.1726,30.981,0.5,1.7419,-4.9747,951.34,-0.8866727870842261,-0.52,0.07122776825970556,-0.8866727870842261,-0.017720590406441215,0.0,7.545432012534548e-07,0.0,0.0,-0.8866727870842261,318.1726
63,42158,32.21,951.46,-0.7,0.12,0,0,-0.0295,-0.0859,0.9904,-0.24,0.18,-0.24,119,107,30,,,1.6997,-4.957,317.7413,31.481,0.5,1.6997,-4.957,951.34,-0.8866727870842261,-0.5599999999999999,0.05033217919325264,-0.8866727870842261,0.034518293810591086,0.08866388305140305,0.0,0.0,0.0,-0.8866727870842261,317.7413
64,42658,32.23,951.45,-0.58,0.12,0,0,-0.0303,-0.085,0.9917,-0.18,0.18,-0.24,119,107,32,,,1.7437,-4.8989,317.7225,31.981,0.5,1.7437,-4.8989,951.34,-0.7980089040328231,-0.43999999999999995,0.062032252053483755,-0.7980089040328231,0.043689613224888645,0.0,0.26599919481261614,0.0,0.0,-0.7980089040328231,317.7225
65,43158,32.24,951.46,-0.64,0.12,0,0,-0.0291,-0.0859,0.9913,-0.31,0.06,-0.18,120,108,34,,,1.6752,-4.9525,317.6538,32.481,0.5,1.6752,-4.9525,951.34,-0.8866727870842261,-0.5,0.059491282894134745,-0.8866727870842261,0.16717786240264376,0.3546630778640192,0.0,0.0,0.0,-0.8866727870842261,317.6538
66,43658,32.26,951.41,-0.2,0.12,0,0,-0.0303,-0.0854,0.9911,-0.24,0.12,-0.12,120,106,34,,,1.7446,-4.9248,318.1883,32.981,0.5,1.7446,-4.9248,951.34,-0.4433458261688039,-0.06,0.05628487294985418,-0.4433458261688039,0.13021353258504725,0.0,-0.9753155412821735,0.0,0.0,-0.4433458261688039,318.1883
67,44158,32.34,951.46,-0.69,0.12,0,0,-0.0309,-0.0857,0.9911,-0.31,0.18,-0.12,119,104,36,,,1.7791,-4.942,318.4533,33.481,0.5,1.7791,-4.942,951.34,-0.8866727870842261,-0.5499999999999999,0.0558089089269308,-0.8866727870842261,-0.10147216310704299,-0.6206524634181543,-0.0886631285082018,0.0,0.0,-0.8866727870842261,318.4533
68,44658,32.34,951.48,-0.89,0.12,0,0,-0.0306,-0.0856,0.9906,-0.18,0.18,-0.24,122,107,34,,,1.7628,-4.9388,318.397,33.981,0.5,1.7628,-4.9388,951.34,-1.0639982895869582,-0.75,0.051177154515463286,-1.0639982895869582,-0.08014343340227482,-0.0886631285082018,0.7979779659208863,0.0,0.0,-1.0639982895869582,318.397
69,45158,32.35,951.47,-0.76,0.12,0,0,-0.0294,-0.0848,0.9916,-0.24,0.18,-0.18,120,105,38,,,1.6921,-4.887900000000001,318.3836,34.481,0.5,1.6921,-4.8879,951.34,-0.9753359155924279,-0.62,0.061831715788214614,-0.9753359155924279,0.026290117162132337,0.17732550250273205,0.1773262570164036,0.0,0.0,-0.9753359155924279,318.3836
70,45658,32.37,951.46,-0.67,0.12,0,0,-0.0308,-0.0861,0.9899,-0.31,0.18,-0.18,120,108,36,,,1.7754,-4.971,317.6391,34.981,0.5,1.7754,-4.971,951.34,-0.8866727870842261,-0.53,0.04429554433683319,-0.8866727870842261,0.06184630238976655,0.0886631285082018,0.0886684103204538,0.0,0.0,-0.8866727870842261,317.6391
71,46158,32.37,951.46,-0.71,0.12,0,0,-0.0314,-0.0852,0.9916,-0.18,0.12,-0.24,120,106,39,,,1.8071,-4.910900000000001,318.1251,35.481,0.5,1.8071,-4.9109,951.34,-0.8866727870842261,-0.57,0.060077702447333625,-0.8866727870842261,0.14992140668335086,0.26599391282318585,-0.1773262570164036,0.0,0.0,-0.8866727870842261,318.1251
